code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
DAVICHLENS,3DAY 셀레네 브라운 (20P),"20,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231115_17953564f12833e48b16ec2c7f2ef446e67c1ba92ac37ac91d7c968acd1719fe_700x875x02,NA,254,0,2024-06-05
쿠퍼비전,쿠퍼비젼 1DAY - 마이데이 원데이 근시 (30P),"29,500원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2209301453_9335.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,158,0,2024-06-05
DAVICHLENS,3DAY 오로라 브라운 (20P),"20,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2306261745_10207_1.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,126,0,2024-06-05
아큐브,아큐브 1DAY - 뉴디파인 비비드 (30P),"59,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010081425_8330.jpg,NA,78,0,2024-06-05
DAVICHLENS,3DAY 코코링 그레이 (10P),"20,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2201071710_8895.jpg,NA,167,4.3,2024-06-05
인터로조,클라렌 1DAY - 수지 브라운 (30P),"26,000원",46%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240227_aed365c0dfd5546795cdb640d8a8cab3d8afb34d53214ba094f8ed1a450fa7fe_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,128,0,2024-06-05
DAVICHLENS,1DAY 퓨어링 브라운 (30P),"29,000원",41%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231129_c894f4b60d0c9c3393d56bda4faee1822c3e7edc0c8ef028c7981aa0895fcc19_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,111,0,2024-06-05
바슈롬,바슈롬 1DAY - 레이셀 오로라블랙 (30P),"28,000원",43%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2305261156_10142.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,214,0,2024-06-05
DAVICHLENS,3DAY 코코링 헤이즈 (10P),"20,000원",20%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2201071710_8896.jpg,NA,127,4.8,2024-06-05
DAVICHLENS,3DAY 밸런시 클리어 30P,"39,000원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230714_3d8a1ce81946963d0e40ecf57627b16436bdbdf7a3693f3e70354cd0b99a1f8f_700x875x02,NA,156,0,2024-06-05
